headline,url,stock
 News,https://finance.yahoo.comhttps://www.yahoo.com/,AAPL
 Life,https://finance.yahoo.comhttps://www.yahoo.com/lifestyle/,AAPL
 Entertainment,https://finance.yahoo.comhttps://www.yahoo.com/entertainment/,AAPL
  Finance,https://finance.yahoo.comhttps://finance.yahoo.com/,AAPL
 Sports,https://finance.yahoo.comhttps://sports.yahoo.com/,AAPL
New on Yahoo,,AAPL
Apple is reportedly losing $1 billion a year on its streaming service as churn levels increase,,AAPL
"March Madness tips off, Ted Lasso returns: Sports Report",,AAPL
Historical seasonality trends suggest bullish turn for markets,,AAPL
Is Apple (AAPL) the Best Computer Hardware Stock to Buy According to Billionaires?,,AAPL
Apple to shake up executive ranks to revive Siri amid renewed AI push: Bloomberg,,AAPL
"Apple shakes up AI executive ranks in bid to turn around Siri, Bloomberg News reports",,AAPL
"Magnificent Seven Stocks: Meta, Nvidia Climb; Apple, Tesla Slide",,AAPL
Apple's $1 Billion Streaming Sinkhole: Is This the Costliest Gamble in Tech?,,AAPL
Apple Shuffles AI Executive Ranks in Bid to Turn Around Siri,,AAPL
"Autodesk in proxy fight, General Mills reports mixed Q3: Morning Buzz",,AAPL
Apple is apparently losing $1 billion a year on Apple TV+,,AAPL
Apple TV+ Hits 45M Users but Bleeds $1B a Year-Will It Turn Profitable?,,AAPL
Apple TV+ Inches to 45M Users as Losses Reach $1B Yearly,,AAPL
Is Apple Inc. (AAPL) the Top Stock to Buy According to Marshall Wace LLP?,,AAPL
EU provides guidance under DMA regarding product development on Apple platforms,,AAPL
"EU taking action against Google, Apple despite Trump threat, FT says",,AAPL
"Apple (AAPL) Faces AI Siri Delays, Exec Calls It ‘Embarrassing’",,AAPL
Latest Data Shows Another Bad News For Apple (AAPL),,AAPL
Could Buying Apple Today Set You Up for Life?,,AAPL
Will Apple's Slow Artificial Intelligence Rollout Help or Hurt the Stock?,,AAPL
Performance Overview,,AAPL
,,AAPL
 News,https://finance.yahoo.comhttps://www.yahoo.com/,TSLA
 Life,https://finance.yahoo.comhttps://www.yahoo.com/lifestyle/,TSLA
 Entertainment,https://finance.yahoo.comhttps://www.yahoo.com/entertainment/,TSLA
  Finance,https://finance.yahoo.comhttps://finance.yahoo.com/,TSLA
 Sports,https://finance.yahoo.comhttps://sports.yahoo.com/,TSLA
New on Yahoo,,TSLA
"Tesla Cybertruck recall, Cava upgrade, Jabil: Market Minute",,TSLA
"Tesla recall, PDD Holdings, Five Below earnings: Top Stocks",,TSLA
Tesla stock boosted after receiving ride-hail permit in California,,TSLA
"Rivian and Stellantis Face Downgrades, But Tesla's Bull Case Holds Firm",,TSLA
"Tesla Recalls Over 46,000 Cybertrucks-Here's Why It's a Big Deal",,TSLA
Tesla removed from Vancouver International Auto Show on safety concerns,,TSLA
"Magnificent Seven Stocks: Meta, Nvidia Climb; Apple, Tesla Slide",,TSLA
"Tesla's Nightmare: Stock Crash, Billion-Dollar Mystery, and Musk's Crisis Spiral",,TSLA
Wedbush Analysts Say Musk Needs to Announce He Will 'Balance DOGE and Being Tesla CEO',,TSLA
"Autodesk in proxy fight, General Mills reports mixed Q3: Morning Buzz",,TSLA
"These Stocks Are Moving the Most Today: Nvidia, Tesla, Rivian, Accenture, Carvana, Jabil, Micron, and More",,TSLA
"Tesla Recalls More Than 46,000 Cybertrucks Over Panel Detachment Issue",,TSLA
Tesla Recalls Most Cybertrucks,,TSLA
Tesla Cybertruck Recall: What to Know,,TSLA
The used Tesla market is crumbling,,TSLA
"Tesla 'Won't Be This Cheap Again,' Says US Official With Prior Financial Ties",,TSLA
"Is Tesla, Inc. (TSLA) the Top Stock to Buy According to Marshall Wace LLP?",,TSLA
"Tesla’s Trump Bump May Have Been Real, Data Show. The Stock Is Whipsawing.",,TSLA
"Auto Stocks Surge Following Fed Meeting; Tesla, GM Lead Rally",,TSLA
Tesla (TSLA) Partners with Baidu to Boost Self-Driving AI,,TSLA
Performance Overview,,TSLA
,,TSLA
 News,https://finance.yahoo.comhttps://www.yahoo.com/,GOOGL
 Life,https://finance.yahoo.comhttps://www.yahoo.com/lifestyle/,GOOGL
 Entertainment,https://finance.yahoo.comhttps://www.yahoo.com/entertainment/,GOOGL
  Finance,https://finance.yahoo.comhttps://finance.yahoo.com/,GOOGL
 Sports,https://finance.yahoo.comhttps://sports.yahoo.com/,GOOGL
New on Yahoo,,GOOGL
Short sellers have made $15 billion betting against Tesla and Nvidia in 2025,,GOOGL
The secret to Nvidia’s research success: Failing often and quickly,,GOOGL
Why Reddit Stock Is Sinking This Week,,GOOGL
Exus to support Google’s Spanish operations with clean energy,,GOOGL
European Commission sends preliminary findings to Alphabet under DMA,,GOOGL
"Tesla Tanks, Nvidia Slides — What's An Investor To Do? Start Here",,GOOGL
"EU taking action against Google, Apple despite Trump threat, FT says",,GOOGL
Alphabet (GOOGL) Introduces Gemini AI for Robotics,,GOOGL
Trump Trade: Reciprocal tariffs still to start on April 2,,GOOGL
"The Zacks Analyst Blog Highlights Alphabet, Amazon, Microsoft and Oracle",,GOOGL
3 Nasdaq Stocks Down 20% or More That You'll Regret Not Buying on the Dip,,GOOGL
6 Top Quantum Computing Stocks to Buy in 2025,,GOOGL
EU Pushes Ahead With Big Tech Antitrust Enforcement,,GOOGL
Analyst revisits Google parent price target after major acquisition,,GOOGL
Alphabet (NasdaqGS:GOOGL) Eyes US$30 Billion Wiz Deal and Expands Cybersecurity and AI Ventures,,GOOGL
"Google's $32B Wiz Acquisition Reshapes Cybersecurity, Analysts Weigh Impact",,GOOGL
Why Tesla Stock Is Climbing Today,,GOOGL
"Google Launches $499 Pixel 9a, Rivaling Apple’s iPhone 16e",,GOOGL
"Google, Apple Hit by Twin EU Rebuke Amid Big Tech Crackdown",,GOOGL
"Google Search, Play Store falling foul of Digital Markets Act rules, says EU",,GOOGL
Performance Overview,,GOOGL
,,GOOGL
 News,https://finance.yahoo.comhttps://www.yahoo.com/,MSFT
 Life,https://finance.yahoo.comhttps://www.yahoo.com/lifestyle/,MSFT
 Entertainment,https://finance.yahoo.comhttps://www.yahoo.com/entertainment/,MSFT
  Finance,https://finance.yahoo.comhttps://finance.yahoo.com/,MSFT
 Sports,https://finance.yahoo.comhttps://sports.yahoo.com/,MSFT
New on Yahoo,,MSFT
Short sellers have made $15 billion betting against Tesla and Nvidia in 2025,,MSFT
"Microsoft to Launch First Cloud Region in Malaysia, Projected to Generate $10.9 Billion in Revenue",,MSFT
"Magnificent Seven Stocks: Meta, Nvidia Climb; Apple, Tesla Slide",,MSFT
"U.S. video game spending fell 6% y/y in February, says Circana",,MSFT
